date,building,source,consumption_kwh,cost_usd
2024-01-01,Building A,Solar,61.25,6.08
2024-01-01,Building B,Grid,112.79,9.83
2024-01-01,Building C,Solar,315.72,25.96
2024-01-01,Building D,Solar,148.39,17.12
2024-01-01,Building A,Solar,302.56,39.37
2024-01-01,Building B,Diesel,149.2,18.09
2024-01-01,Building C,Solar,391.46,35.69
2024-01-01,Building D,Diesel,203.11,18.46
2024-01-01,Building A,Wind,95.99,10.23
2024-01-01,Building B,Wind,431.37,52.74
2024-01-01,Building C,Solar,378.38,44.47
2024-01-01,Building D,Diesel,85.46,8.59
2024-01-01,Building A,Wind,309.81,40.06
2024-01-01,Building B,Solar,347.57,46.61
2024-01-01,Building C,Solar,434.89,61.17
2024-01-01,Building D,Diesel,175.09,21.8
2024-01-02,Building A,Wind,123.19,12.92
2024-01-02,Building B,Wind,365.82,46.77
2024-01-02,Building C,Solar,324.11,29.81
2024-01-02,Building D,Grid,123.53,13.16
2024-01-02,Building A,Grid,358.08,49.77
2024-01-02,Building B,Solar,153.07,12.59
2024-01-02,Building C,Wind,230.52,19.51
2024-01-02,Building D,Wind,145.68,16.75
2024-01-02,Building A,Diesel,114.29,10.26
2024-01-02,Building B,Wind,386.16,42.47
2024-01-02,Building C,Diesel,212.9,31.9
2024-01-02,Building D,Grid,279.29,24.12
2024-01-02,Building A,Solar,437.5,39.68
2024-01-02,Building B,Grid,406.44,44.53
2024-01-02,Building C,Solar,223.15,27.16
2024-01-02,Building D,Diesel,288.1,42.63
2024-01-03,Building A,Solar,356.13,31.35
2024-01-03,Building B,Wind,395.87,41.1
2024-01-03,Building C,Wind,245.64,27.45
2024-01-03,Building D,Wind,487.35,64.98
2024-01-03,Building A,Solar,441.73,44.57
2024-01-03,Building B,Grid,118.78,15.84
2024-01-03,Building C,Solar,319.53,36.49
2024-01-03,Building D,Solar,468.09,66.24
2024-01-03,Building A,Wind,157.75,15.28
2024-01-03,Building B,Solar,88.54,10.1
2024-01-03,Building C,Solar,490.09,57.48
2024-01-03,Building D,Grid,107.78,12.21
2024-01-03,Building A,Grid,169.28,23.88
2024-01-03,Building B,Diesel,483.96,70.19
2024-01-03,Building C,Grid,370.83,40.02
2024-01-03,Building D,Wind,247.15,28.73
2024-01-04,Building A,Solar,161.56,13.65
2024-01-04,Building B,Solar,314.74,30.25
2024-01-04,Building C,Grid,53.24,6.9
2024-01-04,Building D,Solar,153.02,21.94
2024-01-04,Building A,Wind,81.89,7.92
2024-01-04,Building B,Diesel,146.41,13.07
2024-01-04,Building C,Diesel,159.35,18.02
2024-01-04,Building D,Diesel,135.68,11.78
2024-01-04,Building A,Diesel,209.43,22.78
2024-01-04,Building B,Solar,353.01,52.56
2024-01-04,Building C,Solar,77.28,10.12
2024-01-04,Building D,Solar,161.9,15.11
2024-01-04,Building A,Diesel,113.08,10.5
2024-01-04,Building B,Diesel,162.41,23.49
2024-01-04,Building C,Diesel,413.61,57.87
2024-01-04,Building D,Solar,72.76,10.91
2024-01-05,Building A,Solar,486.05,70.4
2024-01-05,Building B,Grid,124.84,14.23
2024-01-05,Building C,Grid,439.09,62.86
2024-01-05,Building D,Grid,220.54,32.85
2024-01-05,Building A,Wind,466.93,63.02
2024-01-05,Building B,Wind,240.35,35.33
2024-01-05,Building C,Diesel,119.66,12.06
2024-01-05,Building D,Solar,310.63,36.64
2024-01-05,Building A,Wind,75.72,9.15
2024-01-05,Building B,Grid,75.6,8.74
2024-01-05,Building C,Grid,80.83,6.85
2024-01-05,Building D,Grid,231.7,33.81
2024-01-05,Building A,Grid,310.51,25.7
2024-01-05,Building B,Solar,238.65,28.84
2024-01-05,Building C,Wind,470.62,44.38
2024-01-05,Building D,Wind,157.41,16.95
2024-01-06,Building A,Wind,255.75,37.09
2024-01-06,Building B,Solar,54.19,6.69
2024-01-06,Building C,Solar,82.97,7.88
